MOHICANO       ;;ESTADO DE PERDIDA Y GANANCIA ACUMULADO PERIODO 2026;
;
;LIN;ESTADO DE RESULTADO;ENERO     ;FEBRERO   ;MARZO     ;ABRIL     ;MAYO      ;JUNIO     ;JULIO     ;AGOSTO    ;SEPTIEMBRE;OCTUBRE   ;NOVIEMBRE ;DICIEMBRE ;ACUMULADO
;CUENTA;NOMBRE DE LA CUENTA;
;
;520510   ;Gratificación                           ;5666140;5376694;4786603;4770448;4736669;0;0;0;0;0;0;0;
;520601   ;Honorarios Varios                       ;0;0;0;129794;825565;0;0;0;0;0;0;0;
;520602   ;Servicios Administrativos               ;0;0;589971;829889;589971;0;0;0;0;0;0;0;
;520604   ;HONOR. PRACTICA PROFESIONAL             ;0;0;0;643154;355189;0;0;0;0;0;0;0;
;520701   ;Arriendos                               ;38600000;10000000;17348210;23251790;1300000;1300000;0;0;0;0;0;0;
;520802   ;Telefonía Móvil                         ;413172;120728;120391;121088;120860;0;0;0;0;0;0;0;
;520803   ;Internet                                ;182373;164170;157493;172264;162398;0;0;0;0;0;0;0;
;520902   ;Hoteles (Alojamiento)                   ;173090;316512;0;0;277143;0;0;0;0;0;0;0;
;520903   ;Viáticos                                ;71599;38120;54813;65679;343709;33712;0;0;0;0;0;0;
;520904   ;Movilización, Traslado de Vehiculo      ;995357;1001791;945208;964257;949774;1950;0;0;0;0;0;0;
;520905   ;Colación y Almuerzos                    ;1399064;1441810;1073059;1133049;995644;12350;0;0;0;0;0;0;
;530205   ;Iva Fuera de Plazo                      ;94697;9686;239285;49474;80309;0;0;0;0;0;0;0;
;530207   ;Sobretasa Bienes Raices                 ;0;0;0;182794;0;0;0;0;0;0;0;0;

;05;GASTOS DE VENTAS                        ;2310213;1536944;2897933;1736079;1927359;8000;0;0;0;0;0;0;10416528
;520219   ;Insumos de Ventas                       ;0;0;0;0;0;8000;0;0;0;0;0;0;
;520222   ;Comisiones Transbank                    ;196291;187457;161872;199342;242932;0;0;0;0;0;0;0;
;520236   ;Arriendo Vehiculo                       ;151733;490682;92183;103618;0;0;0;0;0;0;0;0;
;520261   ;Despachos-Fletes                        ;94909;78118;587991;104395;197667;0;0;0;0;0;0;0;
;520272   ;Licencia Shopify Sta. Filomena          ;0;0;29931;0;0;0;0;0;0;0;0;0;
;520291   ;Gto.Materiales e Insumos Bodega SG      ;421500;0;1222980;66920;696415;0;0;0;0;0;0;0;
;520401   ;Publicidad                              ;250000;0;0;0;0;0;0;0;0;0;0;0;
;520402   ;Marketing                               ;0;25825;0;15620;55760;0;0;0;0;0;0;0;
;520405   ;Evento Promoción Marketing              ;0;0;0;481442;0;0;0;0;0;0;0;0;
;520408   ;FOTOGRAFO                               ;294985;0;0;117994;176991;0;0;0;0;0;0;0;
;520411   ;LIVE Y CREADORES DE CONTENIDO           ;353982;0;165192;129794;0;0;0;0;0;0;0;0;
;520505   ;Comisión Vendedor Sala Venta Sdo.       ;243689;199089;244186;119713;262953;0;0;0;0;0;0;0;
;520512   ;Horas Extras                            ;303124;555773;393598;397241;294641;0;0;0;0;0;0;0;

;06;PATENTES E IMPUESTOS                    ;0;0;0;2754523;0;0;0;0;0;0;0;0;2754523
;520305   ;Contribuciones                          ;0;0;0;2754523;0;0;0;0;0;0;0;0;

;07;DEPRECIACIONES                          ;0;0;0;0;0;0;0;0;0;0;0;0;0

;08;OTROS                                   ;0;0;0;0;0;0;0;0;0;0;0;0;0

;
;09;RESULTADO OPERACIONAL                   ;-196996609;34169199;66517762;-6114475;-24710904;-2962486;0;0;0;0;0;0;-130097513

;
;10;INGRESOS FINANCIEROS                    ;0;23489;0;0;397991;0;0;0;0;0;0;0;421480
;420101   ;Reajuste de Impuestos                   ;0;-23489;0;0;-397991;0;0;0;0;0;0;0;

;11;GASTOS FINANCIEROS                      ;190607;128918;854850;292940;181902;14630;0;0;0;0;0;0;1663847
;520302   ;Gastos Bancarios                        ;293284;128918;831210;292940;171127;14630;0;0;0;0;0;0;
;530101   ;Intereses-Imptos. bancarios             ;251;0;0;0;883;0;0;0;0;0;0;0;
;530103   ;Diferencia Tipo de Cambio (Redondeo)    ;-102928;0;23640;0;9892;0;0;0;0;0;0;0;

;12;DIFERENCIAS DE CAMBIO                   ;0;0;0;0;0;0;0;0;0;0;0;0;0

